都道府県,合計特殊出生率,世帯年間収入
北海道,1.19,"4,488"
青森,1.28,"4,952"
岩手,1.39,"5,282"
宮城,1.27,"5,702"
秋田,1.31,"5,274"
山形,1.42,"5,856"
福島,1.49,"5,397"
茨城,1.35,"5,956"
栃木,1.39,"5,828"
群馬,1.36,"5,595"
埼玉,1.26,"5,886"
千葉,1.25,"5,952"
東京,1.05,"6,211"
神奈川,1.25,"6,220"
新潟,1.37,"5,563"
富山,1.34,"6,131"
石川,1.4,"5,704"
福井,1.52,"6,104"
山梨,1.35,"5,374"
長野,1.47,"5,637"
岐阜,1.34,"6,054"
静岡,1.44,"5,912"
愛知,1.38,"6,125"
三重,1.37,"5,945"
滋賀,1.42,"6,088"
京都,1.18,"5,316"
大阪,1.24,"5,022"
兵庫,1.3,"5,584"
奈良,1.22,"5,452"
和歌山,1.34,"4,796"
鳥取,1.47,"5,389"
島根,1.53,"5,655"
岡山,1.41,"5,729"
広島,1.43,"5,323"
山口,1.42,"4,956"
徳島,1.3,"4,990"
香川,1.48,"5,348"
愛媛,1.4,"4,846"
高知,1.31,"4,474"
福岡,1.34,"4,849"
佐賀,1.51,"5,447"
長崎,1.48,"4,749"
熊本,1.54,"5,026"
大分,1.47,"4,701"
宮崎,1.59,"4,658"
鹿児島,1.54,"4,300"
沖縄,1.75,"4,215"
